age,gender,education_level,job_title,years_of_experience,salary,experience_per_age,seniority,age_group
45,male,bachelor's,operations analyst,20,110000,0.4444444444444444,senior,senior
31,female,bachelor's,event coordinator,5,45000,0.16129032258064516,mid,mid_age
35,male,master's,product marketing manager,8,95000,0.22857142857142856,mid,mid_age
49,female,master's,senior hr manager,19,150000,0.3877551020408163,senior,senior
33,male,bachelor's,junior web developer,5,50000,0.15151515151515152,mid,mid_age
39,female,master's,senior project coordinator,13,80000,0.3333333333333333,senior,mid_age
44,male,phd,chief data officer,16,220000,0.36363636363636365,senior,mid_age
30,female,bachelor's,digital content producer,3,50000,0.1,mid,mid_age
36,male,bachelor's,it support specialist,7,60000,0.19444444444444445,mid,mid_age
41,female,master's,senior marketing analyst,14,100000,0.34146341463414637,senior,mid_age
28,male,bachelor's,customer success manager,2,40000,0.07142857142857142,junior,junior
42,female,master's,senior graphic designer,15,110000,0.35714285714285715,senior,mid_age
37,male,bachelor's,software project manager,9,95000,0.24324324324324326,mid,mid_age
50,female,bachelor's,supply chain analyst,22,130000,0.44,senior,senior
32,male,master's,senior business analyst,6,90000,0.1875,mid,mid_age
23,female,bachelor's,junior marketing analyst,0,35000,0.0,junior,junior
31,male,master's,senior financial analyst,6,95000,0.1935483870967742,mid,mid_age
40,female,bachelor's,office manager,15,65000,0.375,senior,mid_age
48,male,phd,principal engineer,20,170000,0.4166666666666667,senior,senior
29,female,bachelor's,junior hr generalist,3,45000,0.10344827586206896,mid,junior
35,male,master's,senior product manager,10,120000,0.2857142857142857,senior,mid_age
42,female,bachelor's,sales manager,17,100000,0.40476190476190477,senior,mid_age
53,male,master's,director of marketing,25,180000,0.4716981132075472,senior,senior
33,female,bachelor's,junior operations analyst,5,50000,0.15151515151515152,mid,mid_age
38,male,bachelor's,customer service manager,11,80000,0.2894736842105263,senior,mid_age
44,female,phd,senior scientist,16,140000,0.36363636363636365,senior,mid_age
26,male,bachelor's,junior accountant,2,40000,0.07692307692307693,junior,junior
37,female,master's,senior hr generalist,9,95000,0.24324324324324326,mid,mid_age
45,male,bachelor's,sales operations manager,18,110000,0.4,senior,senior
32,female,bachelor's,marketing coordinator,4,50000,0.125,mid,mid_age
34,male,master's,senior software developer,8,105000,0.23529411764705882,mid,mid_age
50,female,master's,director of operations,21,160000,0.42,senior,senior
29,male,bachelor's,junior web designer,3,45000,0.10344827586206896,mid,junior
40,female,master's,senior training specialist,12,100000,0.3,senior,mid_age
47,male,phd,senior research scientist,22,160000,0.46808510638297873,senior,senior
27,male,bachelor's,junior sales representative,1,35000,0.037037037037037035,junior,junior
39,female,bachelor's,administrative assistant,10,55000,0.2564102564102564,senior,mid_age
46,male,master's,senior project manager,19,140000,0.41304347826086957,senior,senior
30,female,bachelor's,junior marketing manager,4,50000,0.13333333333333333,mid,mid_age
36,male,bachelor's,junior data analyst,7,60000,0.19444444444444445,mid,mid_age
43,female,master's,senior product marketing manager,14,120000,0.32558139534883723,senior,mid_age
28,male,bachelor's,junior business analyst,2,40000,0.07142857142857142,junior,junior
41,female,master's,senior marketing manager,13,110000,0.3170731707317073,senior,mid_age
33,male,bachelor's,junior software developer,5,50000,0.15151515151515152,mid,mid_age
47,male,bachelor's,senior sales manager,20,135000,0.425531914893617,senior,senior
25,female,master's,junior marketing specialist,1,40000,0.04,junior,junior
34,male,bachelor's,senior business analyst,8,90000,0.23529411764705882,mid,mid_age
42,female,phd,senior data scientist,16,150000,0.38095238095238093,senior,mid_age
31,male,bachelor's,junior project manager,4,60000,0.12903225806451613,mid,mid_age
38,female,bachelor's,senior accountant,10,80000,0.2631578947368421,senior,mid_age
45,male,master's,director of sales,19,175000,0.4222222222222222,senior,senior
29,female,bachelor's,junior recruiter,3,45000,0.10344827586206896,mid,junior
36,male,master's,senior business development manager,11,120000,0.3055555555555556,senior,mid_age
43,female,phd,senior product designer,18,140000,0.4186046511627907,senior,mid_age
26,male,bachelor's,junior customer support specialist,2,35000,0.07692307692307693,junior,junior
37,female,master's,senior marketing analyst,9,95000,0.24324324324324326,mid,mid_age
44,male,bachelor's,senior it support specialist,14,110000,0.3181818181818182,senior,mid_age
32,female,bachelor's,junior financial analyst,5,50000,0.15625,mid,mid_age
33,male,master's,senior operations manager,7,115000,0.21212121212121213,mid,mid_age
51,female,phd,director of human resources,23,185000,0.45098039215686275,senior,senior
28,male,bachelor's,junior software engineer,2,40000,0.07142857142857142,junior,junior
39,female,bachelor's,senior sales representative,12,90000,0.3076923076923077,senior,mid_age
48,male,master's,director of product management,21,175000,0.4375,senior,senior
30,female,bachelor's,junior copywriter,3,45000,0.1,mid,mid_age
35,male,bachelor's,senior marketing coordinator,7,80000,0.2,mid,mid_age
41,female,master's,senior human resources manager,13,120000,0.3170731707317073,senior,mid_age
27,male,bachelor's,junior business development associate,1,35000,0.037037037037037035,junior,junior
40,female,bachelor's,senior account manager,14,110000,0.35,senior,mid_age
46,male,phd,senior researcher,18,150000,0.391304347826087,senior,senior
31,female,bachelor's,junior hr coordinator,4,50000,0.12903225806451613,mid,mid_age
34,male,master's,senior software engineer,9,105000,0.2647058823529412,mid,mid_age
50,female,master's,director of finance,20,180000,0.4,senior,senior
29,male,bachelor's,junior marketing coordinator,2,40000,0.06896551724137931,junior,junior
43,male,bachelor's,senior project manager,16,140000,0.37209302325581395,senior,mid_age
26,female,master's,junior data scientist,1,45000,0.038461538461538464,junior,junior
35,male,bachelor's,senior operations analyst,7,85000,0.2,mid,mid_age
42,female,phd,senior marketing manager,18,140000,0.42857142857142855,senior,mid_age
31,male,bachelor's,junior accountant,4,50000,0.12903225806451613,mid,mid_age
38,female,bachelor's,senior human resources coordinator,10,80000,0.2631578947368421,senior,mid_age
46,male,master's,director of operations,20,170000,0.43478260869565216,senior,senior
29,female,bachelor's,junior sales representative,2,40000,0.06896551724137931,junior,junior
37,male,master's,senior business analyst,9,105000,0.24324324324324326,mid,mid_age
44,female,phd,senior ux designer,15,145000,0.3409090909090909,senior,mid_age
27,male,bachelor's,junior product manager,2,40000,0.07407407407407407,junior,junior
36,female,bachelor's,senior marketing specialist,8,85000,0.2222222222222222,mid,mid_age
43,male,bachelor's,senior it project manager,14,130000,0.32558139534883723,senior,mid_age
33,female,master's,senior financial analyst,6,95000,0.18181818181818182,mid,mid_age
34,male,bachelor's,senior quality assurance analyst,9,100000,0.2647058823529412,mid,mid_age
50,female,phd,director of sales and marketing,22,180000,0.44,senior,senior
28,male,bachelor's,junior operations analyst,1,35000,0.03571428571428571,junior,junior
39,female,bachelor's,senior account executive,12,95000,0.3076923076923077,senior,mid_age
47,male,master's,director of business development,19,170000,0.40425531914893614,senior,senior
30,female,bachelor's,junior social media manager,3,45000,0.1,mid,mid_age
34,male,bachelor's,senior product manager,7,95000,0.20588235294117646,mid,mid_age
40,female,master's,senior human resources specialist,13,120000,0.325,senior,mid_age
41,female,bachelor's,senior marketing coordinator,11,90000,0.2682926829268293,senior,mid_age
45,male,phd,senior data analyst,17,155000,0.37777777777777777,senior,senior
32,female,bachelor's,junior account manager,5,55000,0.15625,mid,mid_age
35,male,master's,senior software developer,9,110000,0.2571428571428571,mid,mid_age
49,female,master's,director of human capital,21,180000,0.42857142857142855,senior,senior
30,male,bachelor's,junior advertising coordinator,3,45000,0.1,mid,mid_age
44,male,bachelor's,senior sales manager,16,130000,0.36363636363636365,senior,mid_age
27,female,master's,junior ux designer,1,45000,0.037037037037037035,junior,junior
36,male,bachelor's,senior accountant,7,90000,0.19444444444444445,mid,mid_age
41,female,phd,senior marketing director,17,160000,0.4146341463414634,senior,mid_age
31,male,bachelor's,junior hr generalist,4,50000,0.12903225806451613,mid,mid_age
39,female,bachelor's,senior operations manager,10,120000,0.2564102564102564,senior,mid_age
47,male,master's,director of finance,20,170000,0.425531914893617,senior,senior
30,female,bachelor's,junior marketing coordinator,2,40000,0.06666666666666667,junior,mid_age
38,male,master's,senior it consultant,9,110000,0.23684210526315788,mid,mid_age
45,female,phd,senior product designer,15,150000,0.3333333333333333,senior,senior
28,male,bachelor's,junior business development associate,2,40000,0.07142857142857142,junior,junior
35,female,bachelor's,senior marketing analyst,8,85000,0.22857142857142856,mid,mid_age
44,male,bachelor's,senior software engineer,14,130000,0.3181818181818182,senior,mid_age
34,female,master's,senior financial advisor,6,100000,0.17647058823529413,mid,mid_age
35,male,bachelor's,senior project coordinator,9,95000,0.2571428571428571,mid,mid_age
50,female,phd,director of operations,22,180000,0.44,senior,senior
29,male,bachelor's,junior business operations analyst,1,35000,0.034482758620689655,junior,junior
40,female,bachelor's,senior sales representative,12,100000,0.3,senior,mid_age
48,male,master's,director of marketing,19,170000,0.3958333333333333,senior,senior
31,female,bachelor's,junior social media specialist,3,45000,0.0967741935483871,mid,mid_age
33,male,bachelor's,senior product development manager,7,100000,0.21212121212121213,mid,mid_age
42,female,master's,senior human resources manager,13,140000,0.30952380952380953,senior,mid_age
28,male,bachelor's,junior financial analyst,2,40000,0.07142857142857142,junior,junior
40,female,bachelor's,senior marketing manager,11,105000,0.275,senior,mid_age
46,male,phd,senior data scientist,18,160000,0.391304347826087,senior,senior
33,female,bachelor's,junior operations manager,5,70000,0.15151515151515152,mid,mid_age
37,male,master's,senior software architect,9,120000,0.24324324324324326,mid,mid_age
51,female,master's,director of human resources,21,190000,0.4117647058823529,senior,senior
30,male,bachelor's,junior marketing specialist,3,45000,0.1,mid,mid_age
43,male,bachelor's,senior project manager,15,120000,0.3488372093023256,senior,mid_age
27,female,master's,junior research scientist,1,50000,0.037037037037037035,junior,junior
35,male,bachelor's,senior operations analyst,8,85000,0.22857142857142856,mid,mid_age
42,female,phd,senior marketing manager,13,140000,0.30952380952380953,senior,mid_age
32,male,bachelor's,junior sales representative,3,45000,0.09375,mid,mid_age
37,female,bachelor's,senior financial analyst,9,100000,0.24324324324324326,mid,mid_age
45,male,master's,senior software developer,16,140000,0.35555555555555557,senior,senior
33,female,bachelor's,junior operations analyst,5,70000,0.15151515151515152,mid,mid_age
39,male,bachelor's,senior marketing specialist,10,120000,0.2564102564102564,senior,mid_age
44,female,phd,senior hr manager,18,160000,0.4090909090909091,senior,mid_age
29,male,bachelor's,junior business analyst,1,40000,0.034482758620689655,junior,junior
38,female,bachelor's,senior product manager,10,120000,0.2631578947368421,senior,mid_age
46,male,phd,senior data analyst,19,150000,0.41304347826086957,senior,senior
34,female,bachelor's,junior marketing analyst,6,70000,0.17647058823529413,mid,mid_age
36,male,bachelor's,senior operations manager,8,95000,0.2222222222222222,mid,mid_age
49,female,master's,director of marketing,21,180000,0.42857142857142855,senior,senior
31,male,bachelor's,junior financial analyst,3,50000,0.0967741935483871,mid,mid_age
41,female,bachelor's,senior project coordinator,11,95000,0.2682926829268293,senior,mid_age
47,male,master's,director of operations,20,170000,0.425531914893617,senior,senior
37,female,bachelor's,senior financial manager,10,120000,0.2702702702702703,senior,mid_age
31,female,bachelor's,junior marketing coordinator,3,50000,0.0967741935483871,mid,mid_age
42,male,bachelor's,senior operations manager,12,110000,0.2857142857142857,senior,mid_age
29,female,bachelor's,junior sales representative,1,40000,0.034482758620689655,junior,junior
36,male,bachelor's,senior marketing specialist,8,95000,0.2222222222222222,mid,mid_age
44,female,master's,senior hr specialist,15,140000,0.3409090909090909,senior,mid_age
33,male,bachelor's,junior operations manager,4,60000,0.12121212121212122,mid,mid_age
39,female,bachelor's,senior marketing coordinator,9,110000,0.23076923076923078,mid,mid_age
45,male,phd,senior data engineer,16,150000,0.35555555555555557,senior,senior
32,female,bachelor's,junior marketing manager,4,60000,0.125,mid,mid_age
37,male,bachelor's,senior financial analyst,8,90000,0.21621621621621623,mid,mid_age
47,female,master's,director of marketing,20,180000,0.425531914893617,senior,senior
30,male,bachelor's,junior business analyst,2,40000,0.06666666666666667,junior,mid_age
38,female,bachelor's,senior project manager,9,120000,0.23684210526315788,mid,mid_age
46,male,phd,senior data analyst,17,160000,0.3695652173913043,senior,senior
34,female,bachelor's,junior financial analyst,5,70000,0.14705882352941177,mid,mid_age
36,male,bachelor's,senior product manager,8,95000,0.2222222222222222,mid,mid_age
49,female,master's,director of operations,21,180000,0.42857142857142855,senior,senior
31,male,bachelor's,junior operations analyst,3,50000,0.0967741935483871,mid,mid_age
47,male,master's,director of marketing,19,170000,0.40425531914893614,senior,senior
29,female,bachelor's,junior business development associate,1,35000,0.034482758620689655,junior,junior
35,male,bachelor's,senior financial manager,9,100000,0.2571428571428571,mid,mid_age
44,female,phd,senior product designer,15,150000,0.3409090909090909,senior,mid_age
33,male,bachelor's,junior business analyst,4,60000,0.12121212121212122,mid,mid_age
44,male,bachelor's,senior software engineer,13,130000,0.29545454545454547,senior,mid_age
32,male,bachelor's,junior product manager,4,65000,0.125,mid,mid_age
38,female,bachelor's,senior business analyst,10,110000,0.2631578947368421,senior,mid_age
49,male,phd,director of operations,21,180000,0.42857142857142855,senior,senior
29,female,bachelor's,junior marketing specialist,2,40000,0.06896551724137931,junior,junior
35,male,bachelor's,senior business development manager,7,90000,0.2,mid,mid_age
45,female,master's,senior hr manager,14,140000,0.3111111111111111,senior,senior
33,male,bachelor's,junior financial analyst,4,60000,0.12121212121212122,mid,mid_age
40,female,bachelor's,senior marketing manager,12,130000,0.3,senior,mid_age
44,male,phd,senior data scientist,16,160000,0.36363636363636365,senior,mid_age
30,female,bachelor's,junior operations coordinator,2,40000,0.06666666666666667,junior,mid_age
37,male,bachelor's,senior marketing analyst,9,100000,0.24324324324324326,mid,mid_age
48,female,master's,human resources director,20,180000,0.4166666666666667,senior,senior
31,male,bachelor's,junior project manager,3,55000,0.0967741935483871,mid,mid_age
38,female,bachelor's,senior operations coordinator,9,120000,0.23684210526315788,mid,mid_age
33,female,bachelor's,junior marketing manager,5,70000,0.15151515151515152,mid,mid_age
36,male,bachelor's,senior business analyst,8,95000,0.2222222222222222,mid,mid_age
42,female,bachelor's,senior project manager,12,120000,0.2857142857142857,senior,mid_age
34,female,master's,senior financial advisor,6,80000,0.17647058823529413,mid,mid_age
30,female,bachelor's,junior hr coordinator,2,40000,0.06666666666666667,junior,mid_age
37,male,bachelor's,senior business development manager,10,120000,0.2702702702702703,senior,mid_age
45,female,master's,senior marketing manager,16,160000,0.35555555555555557,senior,senior
32,male,bachelor's,junior financial advisor,4,65000,0.125,mid,mid_age
39,female,bachelor's,senior project manager,12,130000,0.3076923076923077,senior,mid_age
47,male,phd,director of engineering,20,180000,0.425531914893617,senior,senior
29,female,bachelor's,junior marketing analyst,2,40000,0.06896551724137931,junior,junior
36,male,bachelor's,senior operations manager,9,100000,0.25,mid,mid_age
43,female,phd,senior data scientist,15,150000,0.3488372093023256,senior,mid_age
32,male,bachelor's,junior marketing coordinator,3,55000,0.09375,mid,mid_age
48,male,master's,director of marketing,21,180000,0.4375,senior,senior
31,female,bachelor's,junior business development associate,3,50000,0.0967741935483871,mid,mid_age
40,male,bachelor's,senior financial analyst,12,130000,0.3,senior,mid_age
45,female,phd,senior ux designer,16,160000,0.35555555555555557,senior,senior
33,male,bachelor's,junior product manager,4,60000,0.12121212121212122,mid,mid_age
36,female,bachelor's,senior marketing manager,8,95000,0.2222222222222222,mid,mid_age
47,male,master's,director of operations,19,170000,0.40425531914893614,senior,senior
29,female,bachelor's,junior project manager,2,40000,0.06896551724137931,junior,junior
34,male,bachelor's,senior operations coordinator,7,90000,0.20588235294117646,mid,mid_age
44,female,phd,senior business analyst,15,150000,0.3409090909090909,senior,mid_age
33,male,bachelor's,junior marketing specialist,5,70000,0.15151515151515152,mid,mid_age
35,female,bachelor's,senior financial manager,8,90000,0.22857142857142856,mid,mid_age
43,male,master's,director of marketing,18,170000,0.4186046511627907,senior,mid_age
31,female,bachelor's,junior financial analyst,3,50000,0.0967741935483871,mid,mid_age
41,male,bachelor's,senior product manager,14,150000,0.34146341463414637,senior,mid_age
44,female,phd,senior data engineer,16,160000,0.36363636363636365,senior,mid_age
45,male,master's,director of engineering,19,180000,0.4222222222222222,senior,senior
28,female,bachelor's,junior operations manager,1,35000,0.03571428571428571,junior,junior
36,male,bachelor's,senior business development manager,8,110000,0.2222222222222222,mid,mid_age
44,female,phd,senior data scientist,16,160000,0.36363636363636365,senior,mid_age
31,male,bachelor's,junior marketing coordinator,3,55000,0.0967741935483871,mid,mid_age
43,male,master's,director of operations,19,170000,0.4418604651162791,senior,mid_age
31,male,master's,data scientist,6,160000,0.1935483870967742,mid,mid_age
28,female,bachelor's,software engineer,3,125000,0.10714285714285714,mid,junior
26,male,master's,product manager,2,120000,0.07692307692307693,junior,junior
27,female,bachelor's,data analyst,2,110000,0.07407407407407407,junior,junior
30,male,phd,data scientist,5,180000,0.16666666666666666,mid,mid_age
29,female,bachelor's,software engineer,4,140000,0.13793103448275862,mid,junior
32,male,bachelor's,product manager,7,170000,0.21875,mid,mid_age
25,female,master's,data analyst,1,100000,0.04,junior,junior
33,male,phd,data scientist,8,190000,0.24242424242424243,mid,mid_age
31,female,bachelor's,software engineer,6,155000,0.1935483870967742,mid,mid_age
28,male,master's,product manager,3,130000,0.10714285714285714,mid,junior
30,female,bachelor's,data analyst,5,145000,0.16666666666666666,mid,mid_age
27,male,phd,data scientist,2,115000,0.07407407407407407,junior,junior
34,male,bachelor's,product manager,9,185000,0.2647058823529412,mid,mid_age
28,male,bachelor's,software engineer,3,125000,0.10714285714285714,mid,junior
26,female,master's,product manager,2,120000,0.07692307692307693,junior,junior
27,male,bachelor's,data analyst,2,110000,0.07407407407407407,junior,junior
30,female,phd,data scientist,5,180000,0.16666666666666666,mid,mid_age
29,male,bachelor's,software engineer,4,140000,0.13793103448275862,mid,junior
26,male,bachelor's,data analyst,3,130000,0.11538461538461539,mid,junior
29,female,master's,data scientist,6,180000,0.20689655172413793,mid,junior
32,male,bachelor's,software engineer,8,190000,0.25,mid,mid_age
27,female,bachelor's,product manager,4,150000,0.14814814814814814,mid,junior
24,male,bachelor's,data analyst,1,90000,0.041666666666666664,junior,junior
31,female,master's,data scientist,9,195000,0.2903225806451613,mid,mid_age
28,male,bachelor's,software engineer,5,160000,0.17857142857142858,mid,junior
33,female,master's,product manager,11,198000,0.3333333333333333,senior,mid_age
25,male,bachelor's,data analyst,2,110000,0.08,junior,junior
30,female,phd,data scientist,7,185000,0.23333333333333334,mid,mid_age
27,male,bachelor's,software engineer,4,140000,0.14814814814814814,mid,junior
34,female,master's,product manager,12,196000,0.35294117647058826,senior,mid_age
23,male,bachelor's,data analyst,1,95000,0.043478260869565216,junior,junior
32,female,phd,data scientist,10,193000,0.3125,senior,mid_age
29,male,bachelor's,software engineer,6,175000,0.20689655172413793,mid,junior
30,female,bachelor's,product manager,5,160000,0.16666666666666666,mid,mid_age
31,female,master's,data scientist,6,180000,0.1935483870967742,mid,mid_age
31,male,bachelor's,data analyst,9,195000,0.2903225806451613,mid,mid_age
28,female,bachelor's,software engineer,5,160000,0.17857142857142858,mid,junior
33,male,master's,product manager,11,198000,0.3333333333333333,senior,mid_age
26,female,bachelor's,data analyst,3,130000,0.11538461538461539,mid,junior
30,male,phd,data scientist,7,185000,0.23333333333333334,mid,mid_age
27,female,bachelor's,software engineer,4,140000,0.14814814814814814,mid,junior
34,male,master's,product manager,12,196000,0.35294117647058826,senior,mid_age
25,female,bachelor's,data analyst,2,110000,0.08,junior,junior
30,male,bachelor's,data analyst,5,160000,0.16666666666666666,mid,mid_age
31,female,phd,data scientist,9,195000,0.2903225806451613,mid,mid_age
25,male,bachelor's,data analyst,2,125000,0.08,junior,junior
28,female,master's,data scientist,6,175000,0.21428571428571427,mid,junior
30,male,bachelor's,software engineer,8,190000,0.26666666666666666,mid,mid_age
24,male,bachelor's,data analyst,1,95000,0.041666666666666664,junior,junior
31,male,master's,data scientist,9,195000,0.2903225806451613,mid,mid_age
23,male,bachelor's,data analyst,1,90000,0.043478260869565216,junior,junior
29,male,bachelor's,software engineer,6,170000,0.20689655172413793,mid,junior
26,male,bachelor's,data analyst,3,135000,0.11538461538461539,mid,junior
25,male,bachelor's,data analyst,2,115000,0.08,junior,junior
27,female,master's,data scientist,4,150000,0.14814814814814814,mid,junior
24,female,bachelor's,product manager,3,125000,0.125,mid,junior
31,male,master's,data scientist,7,180000,0.22580645161290322,mid,mid_age
33,female,master's,product manager,10,195000,0.30303030303030304,senior,mid_age
30,female,phd,data scientist,6,170000,0.2,mid,mid_age
34,female,master's,product manager,11,196000,0.3235294117647059,senior,mid_age
23,male,bachelor's,data analyst,1,92000,0.043478260869565216,junior,junior
32,female,phd,data scientist,9,195000,0.28125,mid,mid_age
28,male,bachelor's,software engineer,5,165000,0.17857142857142858,mid,junior
25,male,bachelor's,data analyst,3,135000,0.12,mid,junior
33,female,master's,product manager,11,196000,0.3333333333333333,senior,mid_age
24,male,bachelor's,data analyst,1,92000,0.041666666666666664,junior,junior
32,male,bachelor's,data analyst,5,135000,0.15625,mid,mid_age
27,female,master's,data scientist,3,180000,0.1111111111111111,mid,junior
40,male,bachelor's,software engineer,12,195000,0.3,senior,mid_age
